Día,"Nombre de la campaña",Edad,Sexo,Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,273,280,0.61,3,0.20333333,1.07142857,2020-12-13,2020-12-13
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,367,382,1.37,2,0.685,0.52356021,2020-12-13,2020-12-13
2020-12-13,EU_Conversions,25-34,male,8455,8455,4.07,62,0.06564516,0.73329391,2020-12-13,2020-12-13
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,1430,1499,2.73,17,0.16058824,1.13408939,2020-12-13,2020-12-13
2020-12-12,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,1107,1159,2.6,8,0.325,0.69025022,2020-12-12,2020-12-12
2020-12-12,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,10,10,0,1,0,10,2020-12-12,2020-12-12
2020-12-12,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,9,10,0.02,0,,0,2020-12-12,2020-12-12
2020-12-12,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,70,71,0.27,0,,0,2020-12-12,2020-12-12
2020-12-12,EU_Conversions_ViewContent,25-34,unknown,8,12,0.02,0,,0,2020-12-12,2020-12-12
2020-12-12,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,377,394,1.41,7,0.20142857,1.77664975,2020-12-12,2020-12-12
